transaction_id,account_id,transaction_type,amount,transaction_date,value_date,end_to_end_id,narrative
LTX5033,L1011,REPAYMENT,1387.41,14/05/2026,14/05/2026,E2E00005033,Monthly repayment L1011
LTX5034,L1011,REPAYMENT,1609.1,10/04/2026,10/04/2026,E2E00005034,Monthly repayment L1011
LTX5035,L1011,REPAYMENT,1450.11,27/03/2026,27/03/2026,E2E00005035,Monthly repayment L1011
LTX5036,L1011,REPAYMENT,1191.49,10/04/2026,10/04/2026,E2E00005036,Monthly repayment L1011
LTX5037,L1011,INTEREST_ACCRUAL,828.9,31/05/2026,31/05/2026,,Monthly interest accrual L1011
LTX5038,L1012,REPAYMENT,1281.27,22/05/2026,22/05/2026,E2E00005038,Monthly repayment L1012
LTX5039,L1012,REPAYMENT,1658.68,10/04/2026,10/04/2026,E2E00005039,Monthly repayment L1012
LTX5040,L1012,REPAYMENT,1106.86,10/03/2026,10/03/2026,E2E00005040,Monthly repayment L1012
LTX5041,L1012,REPAYMENT,1700.34,19/05/2026,19/05/2026,E2E00005041,Monthly repayment L1012
LTX5042,L1013,REPAYMENT,1780.88,08/05/2026,08/05/2026,E2E00005042,Monthly repayment L1013
LTX5043,L1013,REPAYMENT,1732.46,03/04/2026,03/04/2026,E2E00005043,Monthly repayment L1013
LTX5044,L1013,INTEREST_ACCRUAL,1103.92,31/05/2026,31/05/2026,,Monthly interest accrual L1013
LTX5045,L1014,REPAYMENT,1698.95,01/04/2026,01/04/2026,E2E00005045,Monthly repayment L1014
LTX5046,L1014,REPAYMENT,1740.15,21/03/2026,21/03/2026,E2E00005046,Monthly repayment L1014
LTX5047,L1016,REPAYMENT,2135.13,18/05/2026,18/05/2026,E2E00005047,Monthly repayment L1016
LTX5048,L1016,REPAYMENT,1862.18,23/05/2026,23/05/2026,E2E00005048,Monthly repayment L1016
LTX5049,L1016,REPAYMENT,2035.08,25/05/2026,25/05/2026,E2E00005049,Monthly repayment L1016
LTX5050,L1016,INTEREST_ACCRUAL,1050.96,31/05/2026,31/05/2026,,Monthly interest accrual L1016
LTX5051,L1017,REPAYMENT,2653.19,14/03/2026,14/03/2026,E2E00005051,Monthly repayment L1017
LTX5052,L1017,REPAYMENT,2248.51,18/03/2026,18/03/2026,E2E00005052,Monthly repayment L1017
LTX5053,L1017,REPAYMENT,2535.28,14/03/2026,14/03/2026,E2E00005053,Monthly repayment L1017
LTX5054,L1017,REPAYMENT,2253.24,20/03/2026,20/03/2026,E2E00005054,Monthly repayment L1017
LTX5055,L1018,REPAYMENT,2695.32,13/04/2026,13/04/2026,E2E00005055,Monthly repayment L1018
LTX5056,L1018,REPAYMENT,3084.91,21/05/2026,21/05/2026,E2E00005056,Monthly repayment L1018
LTX5057,L1018,REPAYMENT,2866.28,04/05/2026,04/05/2026,E2E00005057,Monthly repayment L1018
LTX5058,L1018,REPAYMENT,2628.54,07/03/2026,07/03/2026,E2E00005058,Monthly repayment L1018
LTX5059,L1019,REPAYMENT,1731.48,06/03/2026,06/03/2026,E2E00005059,Monthly repayment L1019
LTX5060,L1019,REPAYMENT,2111.62,17/03/2026,17/03/2026,E2E00005060,Monthly repayment L1019
LTX5061,L1019,REPAYMENT,1826.3,03/04/2026,03/04/2026,E2E00005061,Monthly repayment L1019
LTX5062,L1020,REPAYMENT,2217.03,24/04/2026,24/04/2026,E2E00005062,Monthly repayment L1020
LTX5063,L1020,REPAYMENT,1925.63,15/03/2026,15/03/2026,E2E00005063,Monthly repayment L1020
LTX5064,L1020,REPAYMENT,2422.84,28/05/2026,28/05/2026,E2E00005064,Monthly repayment L1020
LTX5065,L1020,REPAYMENT,1902.1,09/05/2026,09/05/2026,E2E00005065,Monthly repayment L1020
LTX5066,L1020,INTEREST_ACCRUAL,1665.69,31/05/2026,31/05/2026,,Monthly interest accrual L1020
LTX5067,L1021,REPAYMENT,1187.96,19/03/2026,19/03/2026,E2E00005067,Monthly repayment L1021
LTX5068,L1021,REPAYMENT,1115.05,06/03/2026,06/03/2026,E2E00005068,Monthly repayment L1021
LTX5069,L1021,REPAYMENT,1469.45,06/03/2026,06/03/2026,E2E00005069,Monthly repayment L1021
LTX5070,L1021,REPAYMENT,1339.33,27/03/2026,27/03/2026,E2E00005070,Monthly repayment L1021
LTX5071,L1022,REPAYMENT,1631.5,11/05/2026,11/05/2026,E2E00005071,Monthly repayment L1022
LTX5072,L1022,REPAYMENT,1685.33,22/04/2026,22/04/2026,E2E00005072,Monthly repayment L1022
LTX5073,L1022,REPAYMENT,1656.48,20/03/2026,20/03/2026,E2E00005073,Monthly repayment L1022
LTX5074,L1022,INTEREST_ACCRUAL,782.7,31/05/2026,31/05/2026,,Monthly interest accrual L1022
LTX5075,L1023,REPAYMENT,1458.63,23/03/2026,23/03/2026,E2E00005075,Monthly repayment L1023
LTX5076,L1023,REPAYMENT,1037.4,04/03/2026,04/03/2026,E2E00005076,Monthly repayment L1023
LTX5077,L1024,REPAYMENT,1121.58,25/05/2026,25/05/2026,E2E00005077,Monthly repayment L1024
LTX5078,L1024,REPAYMENT,763.22,01/04/2026,01/04/2026,E2E00005078,Monthly repayment L1024
LTX5079,L1024,REPAYMENT,667.99,29/05/2026,29/05/2026,E2E00005079,Monthly repayment L1024
LTX5080,L1025,REPAYMENT,1824.47,29/03/2026,29/03/2026,E2E00005080,Monthly repayment L1025
LTX5081,L1025,REPAYMENT,1914.53,28/04/2026,28/04/2026,E2E00005081,Monthly repayment L1025
LTX5082,L1025,REPAYMENT,1838.48,30/03/2026,30/03/2026,E2E00005082,Monthly repayment L1025
